,Unnamed: 0,segment,sentiment,embeddings,cluster,x,y
0,0,the delivery of output under component 1 have be slow with most effort focus on support for various capacity building and technical workshop,negative,[-1.0653824 -1.5779642  3.2143219],0,8.220170974731445,-7.888443946838379
1,1,delivery of a global set of good practice in tuna fishery mcs the international mcs network imcsn tuna subnetwork and the mcs certification course need great attention from the project management unit and partner if -PRON- be to be complete before the end of the project,negative,[-0.1554058  1.1397452 -1.3505304],1,5.308685779571533,9.203248977661133
2,2,however although key project position be fill early many project initiative be delay due to fao administrative process and requirement,negative,[-1.8524595 -0.555818   3.0365458],0,13.031242370605469,-5.341643333435059
3,3,however there be a lack of capacity in some area notably communication and the project manager have to split -PRON- time between two demand job for most of the last year this negatively impact decision- making and delivery of some project output,negative,[-1.0947207 -1.6209245  3.3368342],0,8.216575622558594,-8.3865966796875
4,4,although reporting of the project budget be an agenda item at every psc meeting stakeholder express the need for increase transparency in the financial reporting from member of the psc,negative,[-2.6086922  1.1610415  1.7375965],0,12.831758499145508,1.3657808303833008
5,5,this be partly due to a lack of clarity over role and responsibility at the onset of the project for some partner and stakeholder group with different expectation and understanding of -PRON- level of engagement in the project,negative,[-1.3891249 -1.48487    3.4161842],0,9.303445816040039,-9.641234397888184
6,6,this be particularly the case for partner lead activity that do not have clear project agree end point and deliverable,negative,[-1.5329086 -1.1751835  3.4480233],0,11.107531547546387,-9.517660140991211
7,7,quality and delivery could be improve at the operational level,negative,[-1.6369807 -0.7844421  2.8580263],0,11.721558570861816,-5.371423244476318
8,8,the project logframe could be streamline to improve m&e and there be a need for more target communication outreach and advocacy effort,negative,[-2.4986238   0.24893716  2.9806066 ],0,14.688523292541504,-2.4082367420196533
9,9,however there be limited funding at the design stage which reduce opportunity for stakeholder consultation and involvement,negative,[-1.5319568 -1.275701   3.4847126],0,10.77934741973877,-9.884134292602539
10,10,m&e be challenge due to the large number of poorly formulate indicator and associated target,negative,[-1.7314278 -0.8208632  3.27908  ],0,12.943253517150879,-7.331550598144531
11,11,however ownership of the project be mixed particularly during the design stage,negative,[-1.0847665 -1.5446537  3.2587852],0,8.280865669250488,-8.02357292175293
12,12,the project have develop a large and diverse mix of partner,negative,[ 1.8243126  -0.55326086 -1.9564583 ],2,-1.9339385032653809,3.917973756790161
13,13,the project do not undertake a gender analysis at the inception phase of the project or develop a gender strategy or gender action plan in accordance with the late fao guidance on gender equality,negative,[-2.1152167   1.5129261   0.82082427],0,11.65523624420166,3.678403854370117
14,14,while there be good potential for the sustainability of some project result e.g. fao be source funding to promote the port state measure template and catch documentation scheme implementation ongoing financial and institutional support be unclear for many activitie,negative,[-1.3423554 -1.4102685  3.339204 ],0,9.4246187210083,-9.0783052444458
15,15,this limit the potential for cross- programme learning and coordination of approach,negative,[-1.7038286  -0.97472334  3.4414053 ],0,12.763394355773926,-8.666343688964844
